,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
0,2015-01-16,279.00012,277.69147,280.6539,279.88742,279.29855
1,2015-02-15,277.12894,277.0262,277.23282,279.1277,280.70554
2,2015-03-16,278.93073,281.5221,280.66132,280.26105,279.2774
3,2015-04-16,283.4543,282.98523,281.80646,282.41223,282.92905
4,2015-05-16,285.3831,284.94797,283.80966,285.07657,285.20953
5,2015-06-16,288.6469,288.4623,288.66483,289.9927,288.45898
6,2015-07-16,290.62323,290.85776,292.52283,291.98245,291.88416
7,2015-08-16,292.17416,292.01126,291.51385,291.4366,292.32147
8,2015-09-16,290.03363,291.8138,290.66782,291.1171,290.03613
9,2015-10-16,287.1875,288.20993,287.72055,287.816,286.23364
10,2015-11-16,283.29135,281.55563,282.30484,284.71805,282.4533
11,2015-12-16,281.3461,281.31454,280.3712,280.937,280.7711
12,2016-01-16,280.77722,277.91202,279.25867,280.14954,278.05185
13,2016-02-15,278.7838,277.5455,278.5041,276.0768,277.38065
14,2016-03-16,279.4352,279.46448,278.5518,278.65005,278.92023
15,2016-04-16,281.28046,282.94638,282.3101,281.6878,279.81906
16,2016-05-16,285.79602,285.5498,284.6635,285.42422,284.443
17,2016-06-16,288.77603,287.4837,288.82983,287.96262,289.2102
18,2016-07-16,290.34348,292.78418,293.8291,290.5056,291.38327
19,2016-08-16,291.957,292.67508,291.878,290.97562,290.87198
20,2016-09-16,291.62885,291.3627,289.53925,290.2848,289.7549
21,2016-10-16,288.2846,287.75452,286.99338,286.7167,288.64532
22,2016-11-16,284.81882,283.4801,283.143,283.1282,282.25797
23,2016-12-16,279.0394,280.0415,279.93677,280.53125,279.6156
24,2017-01-16,280.82947,278.84244,277.50577,276.4671,277.47482
25,2017-02-15,281.2743,280.0166,277.30768,279.9793,276.79666
26,2017-03-16,281.3812,279.38907,279.09418,279.38388,278.34692
27,2017-04-16,282.63626,282.37912,277.87305,283.3662,279.72638
28,2017-05-16,287.48605,287.58807,283.6101,285.65558,283.5121
29,2017-06-16,290.27124,290.86752,288.0476,290.47772,285.778
30,2017-07-16,289.9692,292.84515,291.10468,292.16315,290.0817
31,2017-08-16,290.70547,291.74188,290.6682,292.37036,290.33972
32,2017-09-16,290.28656,289.47437,289.21225,291.14865,290.17255
33,2017-10-16,287.13766,286.04657,287.77252,286.04633,287.137
34,2017-11-16,283.12625,282.49966,283.4153,282.40576,285.2488
35,2017-12-16,280.52304,280.22894,282.52725,278.70935,281.52075
36,2018-01-16,280.12094,276.25293,280.6938,277.47577,279.98276
37,2018-02-15,278.7231,277.43497,280.01,277.2092,280.98694
38,2018-03-16,280.80917,277.72034,278.79825,277.65338,280.66254
39,2018-04-16,281.63245,281.71503,283.35645,280.63806,281.82742
40,2018-05-16,286.17654,285.80856,285.88943,283.45227,285.69012
41,2018-06-16,288.84555,288.2194,287.77155,289.54117,288.06665
42,2018-07-16,291.809,293.50296,291.1737,290.50235,292.60706
43,2018-08-16,291.66943,293.7875,293.03256,292.04425,292.9933
44,2018-09-16,289.11215,292.31335,292.9009,290.58664,290.09277
45,2018-10-16,286.7272,288.94955,287.86734,287.74942,287.97635
46,2018-11-16,281.42178,283.89847,283.8075,283.41257,283.24762
47,2018-12-16,281.5069,279.782,282.62122,279.711,280.5245
48,2019-01-16,280.22473,280.10806,280.84647,275.8592,277.58575
49,2019-02-15,279.6178,278.01813,276.7034,275.0155,278.35083
50,2019-03-16,281.42365,278.32275,279.9701,276.94354,278.73328
51,2019-04-16,283.77625,282.2157,282.24222,281.09067,281.0892
52,2019-05-16,286.34024,285.07733,285.2083,282.73407,284.8661
53,2019-06-16,288.64658,288.7457,287.42435,286.77863,289.3291
54,2019-07-16,290.56012,291.128,291.418,292.18088,290.90448
55,2019-08-16,291.359,292.90213,293.34424,292.29633,292.24078
56,2019-09-16,291.3839,289.6,291.15857,289.4107,290.83344
57,2019-10-16,286.52612,287.26587,286.669,285.6438,287.33908
58,2019-11-16,282.22736,283.5537,284.51755,283.22595,283.94333
59,2019-12-16,278.77213,283.06018,280.88934,281.28226,282.34406
60,2020-01-16,274.62302,279.67807,278.97235,280.2703,278.73492
61,2020-02-15,277.82523,280.85864,278.41617,279.16333,281.4617
62,2020-03-16,278.63,279.52203,278.43246,279.66006,279.22733
63,2020-04-16,282.4269,282.62115,280.38483,281.67233,282.8566
64,2020-05-16,284.6223,286.63367,286.35406,284.53546,285.32404
65,2020-06-16,289.26297,289.59482,288.65753,288.76425,289.26828
66,2020-07-16,290.99716,291.2973,290.9506,290.08368,291.81848
67,2020-08-16,290.64578,294.29553,291.8619,292.22226,292.40082
68,2020-09-16,290.56348,290.31302,289.6987,290.70343,291.3064
69,2020-10-16,285.87872,286.60785,286.85825,287.05096,288.26797
70,2020-11-16,282.4188,281.04437,282.25757,283.55643,283.5843
71,2020-12-16,281.33878,283.06982,280.8824,279.6622,282.19604
72,2021-01-16,281.5784,280.3284,280.64532,280.30194,280.26654
73,2021-02-15,280.66824,278.82504,279.93094,277.3192,279.55307
74,2021-03-16,281.34726,279.0049,279.4947,281.75482,280.47586
75,2021-04-16,281.58862,281.19876,282.67496,283.43405,281.44327
76,2021-05-16,285.71988,285.3967,286.9751,286.28156,285.76672
77,2021-06-16,288.83536,287.8722,290.97708,289.56912,290.06998
78,2021-07-16,291.41467,290.56778,291.71396,291.4715,289.9141
79,2021-08-16,291.90692,290.5488,292.1954,294.55756,291.4755
80,2021-09-16,291.26364,288.45187,289.49078,291.97107,290.32364
81,2021-10-16,285.7642,287.04736,285.62454,286.9267,287.23312
82,2021-11-16,282.85565,284.6851,283.39178,282.99548,283.0087
83,2021-12-16,280.52988,282.6536,280.24985,281.3368,281.08755
84,2022-01-16,277.62027,278.73752,280.43835,279.3585,281.11615
85,2022-02-15,277.6177,277.44373,281.0722,280.43356,280.96732
86,2022-03-16,277.28775,278.65518,281.01315,278.79288,282.03906
87,2022-04-16,280.16013,280.75366,283.49985,282.35538,283.48547
88,2022-05-16,285.57016,286.11502,287.11142,286.4343,284.793
89,2022-06-16,289.9312,287.81146,289.5076,290.31244,289.0668
90,2022-07-16,291.82263,290.86865,293.3174,293.06757,290.34528
91,2022-08-16,291.83142,290.51984,292.93878,292.17352,292.20013
92,2022-09-16,291.15558,289.82498,291.88098,293.0514,290.63956
93,2022-10-16,287.57114,287.65347,288.20132,288.21686,285.6905
94,2022-11-16,282.55658,282.7921,284.34,281.9977,285.47522
95,2022-12-16,280.99884,280.51297,279.96832,281.47614,280.80197
96,2023-01-16,280.1093,275.30954,280.45804,281.19977,278.2409
97,2023-02-15,279.34543,280.00684,280.61032,280.19595,278.12195
98,2023-03-16,277.9988,277.83392,280.4304,280.51117,280.31726
99,2023-04-16,282.68225,280.90814,281.30695,281.58884,282.12344
100,2023-05-16,286.9684,284.1126,284.20016,283.95804,284.92523
101,2023-06-16,290.00745,287.8607,288.79605,290.12616,290.7193
102,2023-07-16,292.183,290.5948,292.68423,289.57593,292.63037
103,2023-08-16,293.77878,292.42017,291.80573,290.28787,294.33453
104,2023-09-16,291.40317,291.424,290.45084,290.14722,291.64963
105,2023-10-16,289.34296,289.03043,289.49515,286.56448,288.8803
106,2023-11-16,284.5473,284.1648,282.5641,283.3397,284.3432
107,2023-12-16,281.76596,281.61108,281.70276,281.48395,280.8882
108,2024-01-16,280.4142,281.04285,278.11368,278.45395,278.0329
109,2024-02-15,281.4054,279.52368,278.0667,278.1367,278.33554
110,2024-03-16,280.59482,281.92883,279.4108,277.76462,281.48495
111,2024-04-16,283.4404,283.51428,281.39322,281.29114,281.37793
112,2024-05-16,286.17276,285.63184,284.9608,286.0841,284.32385
113,2024-06-16,288.3785,288.0782,289.3867,290.12396,288.04395
114,2024-07-16,291.98993,290.40488,291.01086,293.34198,291.6515
115,2024-08-16,292.08505,292.22665,291.92038,293.7358,292.6839
116,2024-09-16,289.36386,291.18213,289.25595,290.40677,290.65417
117,2024-10-16,286.15967,287.40265,287.26306,286.3994,286.85736
118,2024-11-16,284.5889,283.54718,285.85687,281.44632,283.4836
119,2024-12-16,282.69653,279.74918,280.7824,280.07712,282.11517
120,2025-01-16,278.75272,276.4981,278.39383,279.1317,278.328
121,2025-02-15,279.5083,277.8396,278.74066,278.90494,279.06442
122,2025-03-16,280.6681,277.30414,279.10794,281.42084,280.36026
123,2025-04-16,283.76657,281.00134,282.9551,283.53577,282.53375
124,2025-05-16,287.69818,282.631,285.78064,285.4617,285.20523
125,2025-06-16,291.39136,286.73053,289.20877,288.47202,288.67822
126,2025-07-16,292.2534,290.7771,292.663,291.71466,291.7097
127,2025-08-16,292.5451,291.563,293.87308,290.4272,292.24216
128,2025-09-16,291.883,291.23383,294.0237,289.74237,290.3262
129,2025-10-16,287.4036,286.32898,286.4205,288.03622,287.38992
130,2025-11-16,282.15692,282.47308,282.6545,283.9481,285.56345
131,2025-12-16,280.76318,280.50238,281.46692,281.6354,282.6429
132,2026-01-16,277.76935,279.1336,276.19574,281.07642,280.54938
133,2026-02-15,278.22772,279.98724,277.75925,280.21072,277.25528
134,2026-03-16,280.6069,281.9293,278.8277,279.27322,280.49844
135,2026-04-16,283.46945,281.67462,282.1046,282.31412,282.48862
136,2026-05-16,286.48654,285.43515,284.52222,286.7583,284.83374
137,2026-06-16,289.4215,289.0764,290.15668,290.41254,288.95773
138,2026-07-16,293.13193,291.3018,291.95013,290.15366,291.2222
139,2026-08-16,292.69507,293.60843,291.76428,291.4536,291.97314
140,2026-09-16,291.00903,291.84012,288.2774,288.9889,289.94882
141,2026-10-16,287.01782,286.52182,287.07764,285.7245,286.47076
142,2026-11-16,282.82504,283.1426,284.41638,283.46353,282.9744
143,2026-12-16,282.2,281.46036,283.6462,283.58868,279.93103
144,2027-01-16,281.0622,277.32782,280.79086,281.64316,279.90665
145,2027-02-15,278.51175,276.5668,280.62396,280.68167,278.4143
146,2027-03-16,280.00894,279.2286,281.42593,279.15723,278.75565
147,2027-04-16,281.83383,281.72342,282.7425,281.04974,281.63043
148,2027-05-16,284.17023,284.63956,286.2982,285.2832,284.04114
149,2027-06-16,287.0734,291.00894,289.88345,288.34583,288.48526
150,2027-07-16,291.3373,292.47015,291.92966,291.36722,290.62012
151,2027-08-16,292.7908,293.95547,293.25967,292.9534,293.0555
152,2027-09-16,289.82153,289.62402,291.6823,290.3764,291.02298
153,2027-10-16,286.56052,286.78052,286.60117,287.04248,287.4273
154,2027-11-16,282.9164,283.77975,282.5058,284.3506,283.89206
155,2027-12-16,282.52142,278.6568,279.69806,282.73508,282.62488
156,2028-01-16,277.09024,281.41174,280.3548,282.15662,281.1103
157,2028-02-15,275.39505,280.82074,279.0504,279.22787,280.82922
158,2028-03-16,278.53058,280.56915,281.39,281.73575,280.28088
159,2028-04-16,282.45093,283.1081,284.25732,281.268,281.95853
160,2028-05-16,284.3053,285.00018,286.36005,285.99008,285.15677
161,2028-06-16,290.13235,288.6432,290.1869,288.16983,288.22052
162,2028-07-16,292.6864,290.9558,293.38162,291.64508,290.87415
163,2028-08-16,292.70322,290.64255,295.13733,292.85696,292.16992
164,2028-09-16,290.43173,290.07022,291.92288,290.49243,290.29184
165,2028-10-16,285.99722,287.60437,288.10904,287.94293,289.65494
166,2028-11-16,283.17484,284.3206,284.1279,282.53802,284.42224
167,2028-12-16,282.12662,280.85083,280.40286,279.70078,282.43546
168,2029-01-16,279.84558,278.41052,280.57565,280.43304,280.9261
169,2029-02-15,279.34866,279.28607,276.75455,280.27917,280.44165
170,2029-03-16,281.48166,280.3727,278.64175,277.16562,281.06293
171,2029-04-16,282.84335,281.5763,282.5703,281.95935,282.49005
172,2029-05-16,285.05182,285.6291,286.29922,284.86,284.17676
173,2029-06-16,288.3996,289.22882,288.82724,289.80792,287.8048
174,2029-07-16,291.60355,292.62543,290.6127,290.9564,290.54413
175,2029-08-16,293.21872,293.5391,290.4406,292.74014,291.05304
176,2029-09-16,290.0929,290.94897,290.09418,290.89966,288.39542
177,2029-10-16,287.04395,286.45334,285.58344,288.3217,285.88803
178,2029-11-16,283.47607,281.62003,283.3266,284.803,281.96768
179,2029-12-16,280.9441,280.64075,282.52258,282.2732,280.7991
180,2030-01-16,280.56403,279.6835,281.09073,279.4744,278.11734
181,2030-02-15,280.37424,279.0784,281.07388,279.77933,280.2846
182,2030-03-16,280.96228,278.82996,280.72217,279.35153,282.3917
183,2030-04-16,283.42947,282.28604,283.0482,282.7657,283.91522
184,2030-05-16,286.41278,284.15244,286.10553,287.0103,286.50626
185,2030-06-16,289.77432,288.76724,288.74045,290.94974,290.02203
186,2030-07-16,291.89612,293.2273,289.81946,293.261,291.81436
187,2030-08-16,291.4639,295.62988,292.19586,292.3446,293.22073
188,2030-09-16,291.9785,292.41974,290.4743,290.25046,291.06512
189,2030-10-16,287.96378,286.79144,288.95526,288.97168,288.5742
190,2030-11-16,283.82953,282.42984,285.61737,283.80142,285.383
191,2030-12-16,281.79877,278.7361,281.85077,280.96786,282.7254
192,2031-01-16,280.2226,276.4169,277.51422,280.4677,279.50174
193,2031-02-15,281.0726,280.3915,279.06808,280.24594,278.64932
194,2031-03-16,280.10614,280.73108,280.12347,277.04617,278.227
195,2031-04-16,282.59128,283.114,281.20187,282.88187,283.42288
196,2031-05-16,285.4862,286.6141,284.69986,284.98962,284.9457
197,2031-06-16,290.03354,288.8571,288.485,288.79062,288.40222
198,2031-07-16,292.86935,293.36682,292.28424,290.30438,290.82205
199,2031-08-16,293.56793,294.7832,293.2867,292.34253,293.01428
200,2031-09-16,292.4705,290.49103,289.03033,292.95197,291.02225
201,2031-10-16,288.54523,286.83762,285.64938,287.39935,287.69098
202,2031-11-16,284.65295,282.10883,285.7086,283.6566,282.95868
203,2031-12-16,282.55844,282.07855,281.95093,284.0591,282.34003
204,2032-01-16,279.45187,280.65234,281.05426,278.83478,280.3181
205,2032-02-15,279.31122,277.15845,278.00717,277.486,277.70468
206,2032-03-16,280.37756,279.858,280.5929,277.07086,279.1563
207,2032-04-16,282.76093,282.6926,282.5252,281.1306,282.37433
208,2032-05-16,285.7873,286.8408,285.39734,285.71973,286.11823
209,2032-06-16,289.1223,288.01672,287.7266,289.07666,290.14407
210,2032-07-16,292.39264,290.96942,292.5264,293.49478,291.6176
211,2032-08-16,293.3229,292.043,293.09558,293.4913,291.97998
212,2032-09-16,289.8962,288.44748,292.54053,289.13916,291.1195
213,2032-10-16,287.2989,287.0321,287.7201,286.59192,287.43732
214,2032-11-16,282.1824,284.78705,284.6559,283.424,283.4431
215,2032-12-16,280.6475,282.96054,281.84146,277.72818,281.82294
216,2033-01-16,280.35965,280.40942,280.6089,278.2006,276.15872
217,2033-02-15,278.47018,281.76767,279.3859,278.4125,274.61578
218,2033-03-16,279.28946,281.37076,279.27478,282.0923,278.83698
219,2033-04-16,283.98206,283.9816,281.32364,281.98877,281.98865
220,2033-05-16,284.94586,286.58664,285.64697,286.0091,284.37692
221,2033-06-16,289.6485,290.5581,288.7044,288.87558,288.85422
222,2033-07-16,291.28577,292.80402,292.40417,293.43808,292.25894
223,2033-08-16,294.0574,293.15536,294.09097,294.75003,292.17975
224,2033-09-16,290.35992,293.66998,292.24402,292.31622,292.5514
225,2033-10-16,288.2381,287.4288,287.4139,288.11533,289.13043
226,2033-11-16,284.99393,284.65567,286.0119,283.41254,284.59137
227,2033-12-16,282.29333,282.7383,281.45847,282.63184,280.8508
228,2034-01-16,278.8192,279.9301,278.88248,282.47977,279.09186
229,2034-02-15,277.74918,278.61316,276.58658,280.2616,278.9955
230,2034-03-16,279.034,280.22266,279.35086,280.96634,278.85455
231,2034-04-16,282.06335,282.27115,282.9911,284.68484,282.31137
232,2034-05-16,285.2447,287.05658,285.19708,287.7507,285.9276
233,2034-06-16,290.15787,290.0328,289.8344,289.17078,289.51187
234,2034-07-16,292.68024,293.73602,292.33875,291.84286,291.59384
235,2034-08-16,292.44794,293.1989,292.41858,293.8367,292.2992
236,2034-09-16,289.3675,290.27594,290.1157,291.6433,292.73633
237,2034-10-16,288.87314,287.683,287.6505,288.74866,287.17117
238,2034-11-16,283.25055,283.81186,284.6689,284.56174,284.78494
239,2034-12-16,281.49396,281.8471,280.55576,280.5548,281.442
240,2035-01-16,280.80814,281.4038,281.69705,277.3251,277.55933
241,2035-02-15,279.59744,281.32428,280.56107,277.55872,279.63193
242,2035-03-16,280.54205,280.5564,280.96124,279.59894,279.11307
243,2035-04-16,282.84903,284.1843,281.7654,282.8309,282.09604
244,2035-05-16,286.11832,286.4834,286.99274,285.52954,286.38004
245,2035-06-16,290.0884,289.66376,289.06973,288.8368,288.77014
246,2035-07-16,292.74197,292.4959,291.543,291.72098,292.90646
247,2035-08-16,293.5083,292.99194,293.34268,293.1557,294.01855
248,2035-09-16,292.27805,290.25156,291.38068,290.8716,290.8323
249,2035-10-16,288.3298,286.64615,288.88116,285.02542,287.38464
250,2035-11-16,284.68182,284.3623,284.997,282.44534,283.52814
251,2035-12-16,282.85654,281.43552,281.2041,280.68747,281.2736
252,2036-01-16,279.8534,278.92346,279.7866,276.8477,278.38776
253,2036-02-15,276.045,276.7522,279.57773,275.68912,278.8096
254,2036-03-16,279.64108,280.5058,280.41904,279.66846,276.89456
255,2036-04-16,281.44638,282.26447,282.6448,282.14636,282.13474
256,2036-05-16,284.91647,286.60342,286.22787,286.3332,288.11954
257,2036-06-16,291.04572,289.5507,290.48547,290.02988,289.81015
258,2036-07-16,294.21063,292.82587,293.30463,292.77917,291.51526
259,2036-08-16,295.614,293.52002,294.33987,293.7496,291.2836
260,2036-09-16,294.42358,291.19623,290.91092,290.76843,289.78574
261,2036-10-16,290.57477,285.51303,287.21375,288.65613,287.05524
262,2036-11-16,284.60413,282.9496,282.6488,284.8365,284.98547
263,2036-12-16,281.38477,282.3895,279.68323,280.6989,280.42776
264,2037-01-16,279.83444,281.81784,280.68176,277.44714,277.37616
265,2037-02-15,277.3136,278.7787,279.5953,279.1208,279.33667
266,2037-03-16,280.08594,281.2295,280.25632,278.932,279.05338
267,2037-04-16,282.2492,284.37836,281.8704,281.99014,280.78705
268,2037-05-16,285.32648,286.45386,284.5063,284.08978,285.1222
269,2037-06-16,289.6072,290.3873,289.42737,289.30768,288.39795
270,2037-07-16,291.34802,293.95795,291.2533,290.8124,291.69714
271,2037-08-16,292.48465,293.67624,291.46732,291.38205,293.98193
272,2037-09-16,291.49008,290.51593,290.15964,290.16324,291.76743
273,2037-10-16,287.6758,288.00253,285.17175,286.0827,285.97073
274,2037-11-16,283.18756,284.4609,282.86008,283.20157,284.0912
275,2037-12-16,282.19556,280.88123,281.78967,283.05814,282.3657
276,2038-01-16,279.37436,277.6871,277.96417,280.9833,278.35593
277,2038-02-15,280.3999,277.1691,277.89966,281.8737,275.61484
278,2038-03-16,277.75146,279.37613,278.743,281.12753,280.01556
279,2038-04-16,283.38306,282.2433,280.84286,282.46298,282.16248
280,2038-05-16,286.37573,286.40958,285.21478,286.74374,284.26627
281,2038-06-16,289.19684,287.80872,288.15274,290.88702,291.01154
282,2038-07-16,293.6626,290.36508,292.388,293.5008,293.06546
283,2038-08-16,292.82153,292.66003,292.9659,293.07956,293.15158
284,2038-09-16,292.1207,291.81293,292.0242,290.76926,292.24023
285,2038-10-16,288.80154,289.37006,286.76456,287.77197,287.04233
286,2038-11-16,282.7645,285.12146,283.9368,284.77356,284.74594
287,2038-12-16,280.40533,283.37433,280.96805,282.40274,279.23883
288,2039-01-16,279.28616,280.6369,280.00787,277.6614,279.20593
289,2039-02-15,278.4895,280.7828,282.02472,278.40567,276.87582
290,2039-03-16,282.04776,279.73148,282.17694,278.01398,278.14304
291,2039-04-16,283.24667,282.7136,281.1615,282.23904,281.59528
292,2039-05-16,286.06546,285.14734,285.93686,285.63025,283.74084
293,2039-06-16,288.1593,290.40005,291.10214,288.31793,288.1767
294,2039-07-16,291.5094,291.09375,294.10428,291.04645,291.09348
295,2039-08-16,293.97623,291.7746,293.55032,291.40494,292.67572
296,2039-09-16,292.8176,288.8949,292.1422,289.7344,289.20673
297,2039-10-16,287.67386,286.6914,288.10284,285.1018,286.34958
298,2039-11-16,282.1622,283.057,285.49338,283.61914,284.51434
299,2039-12-16,282.40558,282.3951,282.61215,281.58505,280.99274
300,2040-01-16,280.21793,280.39908,281.8937,278.6551,280.07077
301,2040-02-15,282.6163,279.4208,280.55472,278.29483,279.38937
302,2040-03-16,281.96194,279.1991,281.74655,277.34378,280.4453
303,2040-04-16,284.02414,282.5917,282.6139,280.88077,281.3528
304,2040-05-16,287.8606,285.2831,284.41614,284.14783,286.23572
305,2040-06-16,290.42267,290.8791,288.4212,289.24615,290.31842
306,2040-07-16,294.47037,293.12228,291.88763,292.67377,292.2062
307,2040-08-16,295.34836,292.7379,293.66467,291.96167,292.96295
308,2040-09-16,291.34473,290.78314,289.52448,289.83246,290.51352
309,2040-10-16,287.31284,288.25122,287.0321,286.29373,286.88022
310,2040-11-16,284.1115,284.97418,282.30783,282.97348,283.14337
311,2040-12-16,281.8573,279.88763,281.43573,281.55478,279.84903
312,2041-01-16,279.35803,279.49625,279.93982,279.72815,281.34857
313,2041-02-15,278.58765,278.94922,277.98972,278.3032,281.87714
314,2041-03-16,279.04642,278.6323,281.0555,278.9907,281.3421
315,2041-04-16,281.9005,282.84528,282.26627,282.66635,282.4381
316,2041-05-16,286.0162,284.13974,285.84018,286.92142,284.9184
317,2041-06-16,290.5563,290.37845,290.2424,291.4472,289.08325
318,2041-07-16,294.79797,293.65637,292.56607,292.29913,292.39203
319,2041-08-16,294.00653,292.8092,292.6616,291.49222,292.8566
320,2041-09-16,291.33844,290.81323,290.24606,291.45517,291.0172
321,2041-10-16,289.9042,289.53006,287.12695,289.2756,287.48837
322,2041-11-16,286.36075,284.78427,283.8055,283.5678,284.3269
323,2041-12-16,278.61557,281.25717,281.80396,281.28006,279.0702
324,2042-01-16,281.19373,282.9745,282.02487,279.82498,277.20212
325,2042-02-15,280.41083,281.4634,280.82068,279.34793,277.4384
326,2042-03-16,282.626,281.34793,278.78522,280.7246,278.71658
327,2042-04-16,282.5286,283.03638,282.8509,282.32092,280.5237
328,2042-05-16,286.4425,286.79355,286.6451,286.65558,284.8567
329,2042-06-16,288.17007,290.84045,288.8113,290.97202,292.10583
330,2042-07-16,291.71405,293.1316,291.94675,292.67828,293.3076
331,2042-08-16,294.1428,292.98288,293.85843,293.9186,294.6145
332,2042-09-16,290.3319,291.3417,291.40326,290.8703,290.3406
333,2042-10-16,286.31406,288.38348,287.4173,288.26965,288.7971
334,2042-11-16,283.10684,283.79282,284.55304,283.21753,284.6521
335,2042-12-16,280.87988,280.83295,281.69864,280.96317,279.22128
336,2043-01-16,279.87222,277.546,279.9378,277.80994,279.93597
337,2043-02-15,282.12924,278.01926,281.28983,276.35226,280.5824
338,2043-03-16,282.00687,280.8479,279.59573,278.81888,279.94482
339,2043-04-16,283.37186,282.78186,284.0173,280.17035,281.46796
340,2043-05-16,288.05023,288.1999,285.06052,282.93646,284.99753
341,2043-06-16,291.01038,291.47653,288.7815,287.31708,288.59192
342,2043-07-16,293.61847,292.76022,291.79208,290.76215,291.44885
343,2043-08-16,295.76602,294.04868,293.3017,292.6149,292.07117
344,2043-09-16,292.5028,291.6017,291.3721,292.6601,289.38287
